PNL Durations: NeuronLayer: 1.48ms | WindowMeans: 0.24ms | WindowWeighting: 44.48ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.44ms | WindowMeans: 0.32ms | WindowWeighting: 32.23ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.29ms | WindowMeans: 0.15ms | WindowWeighting: 32.24ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 2.33ms | WindowMeans: 0.21ms | WindowWeighting: 418.70ms | CombineLayer: 0.08ms
PNL Durations: NeuronLayer: 1.07ms | WindowMeans: 0.17ms | WindowWeighting: 32.26ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.01ms | WindowMeans: 0.16ms | WindowWeighting: 34.15ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.36ms | WindowMeans: 0.47ms | WindowWeighting: 34.04ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.11ms | WindowMeans: 0.22ms | WindowWeighting: 142.69ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.04ms | WindowMeans: 0.17ms | WindowWeighting: 36.26ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.08ms | WindowMeans: 0.20ms | WindowWeighting: 33.13ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.55ms | WindowMeans: 0.21ms | WindowWeighting: 35.08ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.60ms | WindowMeans: 0.21ms | WindowWeighting: 83.22ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.34ms | WindowMeans: 0.21ms | WindowWeighting: 32.80ms | CombineLayer: 0.12ms
PNL Durations: NeuronLayer: 0.93ms | WindowMeans: 0.18ms | WindowWeighting: 30.80ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.04ms | WindowMeans: 0.15ms | WindowWeighting: 32.04ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.12ms | WindowMeans: 0.16ms | WindowWeighting: 31.06ms | CombineLayer: 0.05ms
