Durations: Step: 21237.30ms, Logits: 0.15ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17254.49ms, Load: 706.36ms, Logits: 0.13ms, Save: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16460.31ms, Load: 660.10ms, Logits: 0.13ms, Save: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 19675.18ms, Logits: 0.14ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 18876.35ms, Logits: 0.15ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 20720.92ms, Logits: 0.15ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 18401.03ms, Load: 590.43ms, Logits: 0.13ms, Save: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 19874.14ms, Logits: 0.14ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 18487.64ms, Load: 640.71ms, Logits: 0.13ms, Save: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16855.79ms, Load: 641.87ms, Logits: 0.13ms, Save: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16991.87ms, Load: 604.11ms, Logits: 0.14ms, Save: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 19747.29ms, Load: 865.34ms, Logits: 0.15ms, Save: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 19515.92ms, Load: 610.01ms, Logits: 0.13ms, Save: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 20768.37ms, Logits: 0.14ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 19330.22ms, Logits: 0.14ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 19836.29ms, Logits: 0.14ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 20000.97ms, Save: 65.82ms, Load: 58.29ms, Logits: 0.14ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16552.66ms, Save: 63.34ms, Load: 59.91ms, Logits: 0.13ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17433.16ms, Save: 63.93ms, Load: 60.80ms, Logits: 0.13ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17421.66ms, Save: 61.96ms, Logits: 0.13ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17540.73ms, Save: 63.56ms, Logits: 0.13ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17553.02ms, Save: 62.68ms, Logits: 0.13ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17596.56ms, Save: 62.90ms, Logits: 0.13ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17655.95ms, Save: 63.42ms, Logits: 0.13ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16780.78ms, Save: 65.91ms, Logits: 0.13ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16215.75ms, Save: 65.46ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16246.00ms, Save: 64.61ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16234.92ms, Save: 62.65ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16302.57ms, Save: 59.90ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16356.45ms, Save: 65.07ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16812.38ms, Save: 61.40ms, Logits: 0.13ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17123.29ms, Save: 65.20ms, Logits: 0.13ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 18787.69ms, Save: 63.96ms, Logits: 0.13ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17985.33ms, Save: 64.89ms, Logits: 0.13ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
